number,first_names,last_name,company_name,industry,position,market,country_hq,employee_count,size_segment,buyer_fit,hydraulics_relevance,score,reasoning,source_url
1,Pam,Heminger,Caterpillar,Construction & mining equipment OEM,"Company Vice President, Strategic Procurement Division",US,US,,large,high,strong,95,"CONEXPO 2026 exhibitor; strategic procurement leader for a hydraulics-intensive heavy equipment OEM; likely decision influence on supplier selection for critical components and manufactured parts.",https://www.inddist.com/staffing-changes/news/21117427/caterpillar-appoints-new-procurement-vp
2,Kyle,Price,Caterpillar,Construction & mining equipment OEM,"Vice President of Procurement",US,US,,large,high,strong,95,"CONEXPO 2026 exhibitor; procurement leadership role aligned with supplier strategy for high-volume hydraulic systems and related manufactured components.",https://www.linkedin.com/posts/terry-onica-615979_weve-all-seen-it-happen-a-new-corporate-activity-7361750547126767618-9_5I
3,Danny,Murtagh,Komatsu,Construction & mining equipment OEM,"Vice President of Parts and Infrastructure",US,Japan,,large,high,strong,85,"CONEXPO 2026 exhibitor; parts/infrastructure VP role maps to sourcing, distribution and supplier performance for equipment uptime (hydraulics-heavy fleets).",https://www.komatsu.com/en-us/newsroom/2025/komatsu-invests-in-canadian-operations
4,Rod,Bull,Komatsu,Construction & mining equipment OEM,"CEO, Komatsu North America",US,Japan,,large,high,strong,85,"CONEXPO 2026 exhibitor; North America CEO influences strategic partnerships and supplier ecosystems for heavy equipment platforms.",https://www.komatsu.com/en-us/newsroom/2025/komatsu-invests-in-canadian-operations
5,Wallas,Wiggins,John Deere / Wirtgen Group,Construction equipment & roadbuilding OEM,"Retired Vice President, Global Supply Management & Logistics",US,US,,large,high,strong,95,"CONEXPO 2026 exhibitor; senior supply management leader (role aligned with sourcing/procurement strategy) at a hydraulics-intensive OEM.",https://www.linkedin.com/posts/wallas-wiggins-16a1a57_john-deere-relies-on-a-diverse-supply-base-activity-6928069075562639361-QKEH
6,Matt,Graves,John Deere / Wirtgen Group,Construction equipment & roadbuilding OEM,"Director of Marketing Communications",US,US,,large,high,strong,95,"CONEXPO 2026 exhibitor contact listed in the official directory; practical entry point to route to the right internal procurement/engineering stakeholders.",https://directory.conexpoconagg.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1038902
7,Susan L,Kroeger,John Deere / Wirtgen Group,Construction equipment & roadbuilding OEM,"Customer Events Lead",US,US,,large,high,strong,95,"CONEXPO 2026 exhibitor contact listed in the official directory; can connect Eckerle with internal decision makers for component sourcing and engineering.",https://directory.conexpoconagg.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1038902
8,Michael,Lovati,Volvo Group (Volvo CE),Construction equipment OEM,"Chief Purchasing Officer, Volvo Group",US,Sweden,,large,high,strong,85,"Procurement executive for a global OEM group with Volvo CE; strong fit for strategic sourcing conversations for hydraulics-adjacent components and manufacturing partners.",https://www.automotivelogistics.media/news/michael-lovati-steps-into-chief-purchasing-officer-role-at-volvo-group/2588912
9,Amy,Crouse,Volvo Construction Equipment North America LLC,Construction equipment OEM,"Head, PR & Exhibits, Region North America",US,Sweden,,large,high,strong,85,"CONEXPO 2026 exhibitor contact listed in the official directory; useful entry point for introductions to procurement and engineering teams.",https://directory.conexpoconagg.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1039180
10,Simon,Schuster,Liebherr USA, Co.,Construction equipment & cranes OEM,"Divisional Director, Mobile and Crawler Cranes",US+ DACH,Switzerland,,large,high,strong,85,"Leads a major Liebherr division; role spans product/business leadership and service/spare parts support, relevant for supplier partnerships in hydraulics-heavy crane platforms.",https://www.liebherr.com/en-us/n/liebherr-usa-co-appoints-new-divisional-director-for-mobile-and-crawler-cranes-203840-3782185
11,Kai,Friedrich,Liebherr USA, Co.,Construction equipment & cranes OEM,"Managing Director, Liebherr USA, Co.",US+ DACH,Switzerland,,large,high,strong,85,"US managing director for a DACH-origin OEM; strong strategic influence and good sponsor for supplier introductions into engineering/procurement.",https://www.liebherr.com/en-us/n/liebherr-usa-co-appoints-new-divisional-director-for-mobile-and-crawler-cranes-203840-3782185
12,Ana,Cabiedes,Liebherr USA, Co.,Construction equipment & cranes OEM,"Head of Marketing - United States, Liebherr USA, Co.",US+ DACH,Switzerland,,large,high,strong,85,"Named contact on Liebherr press release; reliable entry point to route to purchasing and engineering stakeholders for DACH/US programs.",https://www.liebherr.com/en-us/n/liebherr-usa-co-appoints-new-divisional-director-for-mobile-and-crawler-cranes-203840-3782185
13,Steve,Cianci,CASE Construction Equipment,Construction equipment OEM,"Vice President for North America",US,unknown,,large,high,strong,85,"North America VP for a global construction equipment OEM; can sponsor strategic supplier discussions and connect to procurement/engineering leadership.",https://www.casece.com/en-us/northamerica/inside-case/articles/2023/steve-cianci-joins-case-construction-equipment-as-vice-president-for-north-america
