Unternehmen	Klassifikation	Reasoning	Quelle
Cedarapids (Terex)	B	OEM für Brecher- und Siebanlagen (Terex-Marke). Hydraulik für Rosteinstellung, Überlastschutz, Förderer. Eckerle EIPS/EIPC für mobile/stationäre Aggregate sinnvoll; bei Terex oft Tier-1-Beschaffung.	https://www.terex.com/cedarapids/en | https://www.terex.com/cedarapids/en/products/portable-crushing---screening/portable-hsi-crushers/portable-hsi-crusher/crh1111r
Cemco Inc Concrete Batch Plant	B	Hersteller mobiler Betonmischanlagen (self-erecting, Texas). Model 300 mit hydraulischem Aufrichten, zentralen Mischern mit Hydraulikantrieb. Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://www.cemcoinc.com/ | https://www.cemcoinc.com/mobile-batch-plant
Cemen Tech Inc	B	OEM für Volumen-Fahrmischer (C-Series, CD2). Hydraulik für Trommel, Trolley. Eckerle EIPS/EIMQ für kompakte mobile Hydraulik anwendbar.	https://cementech.com/ | https://cementech.com/c-series/
Chemgrout Inc	A	Hersteller von Injektions- und Mischgeräten (Grouting). CG-Serien mit hydraulischen Pumpen (Plunger, Progressing Cavity). Expliziter Pumpenbedarf; Eckerle EIPS/EIPC als robuste Innenzahnradpumpen gut passend.	https://www.chemgrout.com/ | https://www.chemgrout.com/products/paddle-mixing-equipment/double-acting-plunger-grout-pumps/cg-500-high-pressure-series/
Cimline Inc.	A	OEM für Rissversiegelungsmaschinen (M-Series Crack Sealer). Hydrauliksystem mit digitaler Durchflusssteuerung; mobile Straßenunterhaltung. Eckerle EIPS/EIMQ für kompakte mobile Hydraulik passend.	https://cimline.com/ | https://cimline.com/mseries-crack-sealer-machine/
CK Power	C	Vertrieb und Herstellung von Antrieben und Stromerzeugern (Motoren, Generatoren) für Off-Highway. Kein Hydraulikpumpen-OEM; Hydraulikaggregate werden von anderen beschafft. Kein typischer Eckerle-Direktkäufer.	https://ckpower.com/ | https://ckpower.com/markets/
Classification and Flotation Systems Inc.	C	Hersteller von Nassklassier- und Flotationsanlagen für Sand/Mineralien. Pumpen für Prozesse möglich; Fokus auf Aufbereitung, nicht auf mobile Innenzahnradpumpen wie Eckerle.	https://aggregates.focusongroup.com/fon_companies/classification-flotation-systems-inc/
CMC North America	B	Hersteller von Raupen-Arbeitsbühnen (ehem. All Access Equipment). Hydraulik in Hubwerken und Fahrantrieben. Eckerle EIPS/EIMQ für kompakte mobile Hydraulik denkbar; OEM-Käufer.	https://www.cmcliftna.com/ | https://www.forconstructionpros.com/rental/lifting-equipment/company/12301476/cmc-north-america
CMI Roadbuilding Inc.	A	OEM für Straßenbaumaschinen (Slipform-Fertigern, Asphaltanlagen, Cold Planer). Schwere Hydraulik in Fertigern und Anlagen. Eckerle EIPS/EIPC/EIMQ für mobile/industrielle Hydraulik gut geeignet.	https://www.cmi-roadbuilding.com/ | https://www.cmi-roadbuilding.com/concrete-paving/slipform-pavers/autopave-sf-6
Con-Tech Manufacturing Inc	C	Konkrete Produktzuordnung nicht eindeutig ermittelt. Name deutet auf Bau-/Fertigungsumfeld hin. Ohne klare Hydraulik-/Pumpen-Anwendung als C geführt.	Weitere Recherche empfohlen
