Unternehmen	Klassifikation	Reasoning	Quelle
Philippi-Hagenbuch Inc	C	Hersteller von Kipperaufbauten und Rear-Eject-Bodies für Off-Highway-Lkw (Mining, Aggregates). Hydraulik für Kippen/Entleerung; Aufbauten, keine eigenen Pumpenaggregate. Eckerle nur indirekt über Fahrzeug-OEM.	https://www.philsystems.com/ | https://www.philsystems.com/rear-ejects
PILECO, Inc	A	Hersteller von Rammgeräten inkl. Hydraulik-Power-Packs und -Hämmer. Baut/spezifiziert Pumpen in Power Packs; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.pileco.com/ | https://www.pileco.com/diesel-hammers.html
Power Curbers Companies, LLC	B	OEM für Bordstein- und Straßenfertiger (5700-D, SF-3404, 7700). Hydraulik für Slipform und Steuerung; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.powercurbers.com/ | https://www.powercurbers.com/products/
PRINOTH	B	OEM Vegetationsmanagement (Jarraff, GRIZZLY-Mulcher). Hydraulikgetriebene Mulcher (GRIZZLY M450h–M650h, 150–570 l/min); Eckerle EIMQ/EIPS für Träger oder Anbaugeräte denkbar. Jarraff bereits A.	https://www.prinoth-vegetationmanagement.com/ | https://www.prinoth-vegetationmanagement.com/en-us/categories/hydraulic-driven-attachments-vm
ProAll - A Terex Brand	A	OEM volumetrische Betonmischer mit eigener Hydraulikauslegung (Load-Sensing-Kolbenpumpen, variable Zementdosierung, Manifolds). Direkte Pumpenintegration; Eckerle EIPS/EIMQ als Quelle/Zweitquelle plausibel.	https://proallinc.com/ | https://www.powermotiontech.com/hydraulics/hydraulic-filters/article/21887266/fluid-filtration-protects-mobile-concrete-mixers-hydraulic-control-system
QUADCO	B	OEM Forst-Anbaugeräte (Log Max Ernteköpfe, 10000XT, 7000XT, Fällköpfe). Hydraulik für Zuführung, Sägen, Entastung; Eckerle EIMQ für Hochdruck-Motoren in Köpfen denkbar.	https://www.quadco.com/ | https://www.quadco.com/product/10000xt/
Quick Attach	C	Hersteller von Anbaugeräten für Skid Steer/Mini-Bagger (Backhoe, Breaker, Packer, Mulcher). Hydraulik vom Träger; Quick Attach liefert Mechanik/Steuerung. Kein eigener Pumpenbedarf.	https://quickattach.com/ | https://quickattach.com/products/quick-xcavator-backhoe
Rammer	C	Marke für Hydraulikhämmer und Demolition (Sandvik Mining and Rock Solutions). Anbaugeräte; Hydraulik vom Träger. Kein typischer Eckerle-Pumpenkäufer; Sandvik als OEM siehe separater Eintrag.	https://www.rammer.com/ | https://www.rammer.com/en/products/hydraulic-hammers/
Ready Jet - Hydro Chipping	A	OEM Betontrommel-Reinigungssystem (G4, G4E, G4HD) mit Hochdruckwasser; integriert Hydraulik für Pumpenantrieb. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs.	https://ready-jet.com/ | https://ready-jet.com/g4/
REED Concrete Pumps & Shotcrete Equipment	A	OEM Beton- und Shotcretepumpen (A-, B-, C-Serie); spezifiziert Variable Displacement Pumps, Rexroth Closed-Loop. Direkte Pumpenintegration; Eckerle EIPS/EIPC als Quelle/Zweitquelle.	https://www.reedpumps.com/concretepumps.htm | https://www.reedpumps.com/howdoesaconcretepumpwork.htm
