Unternehmen	Klassifikation	Reasoning	Quelle
Ammann America Inc.	B	OEM für Straßenbau- und Verdichtungstechnik (Verdichter, Asphaltfertiger, Mischanlagen). Maschinen haben Hydraulikantriebe. Eckerle EIPS/EIMQ passen zu kompakten mobilen Hydraulikanwendungen. Bei großen OEMs oft Beschaffung über Systemintegratoren.	https://www.ammann.com/en-US/machines/ | https://www.constructionequipment.com/paving-equipment-materials-production/company/55042878/ammann-america
Astec Industries Inc.	B	Großer OEM für Aggregate-, Asphalt- und Betontechnik. Anlagen und mobile Einheiten nutzen Hydraulik. Eckerle EIPS/EIPC für Industrie- und mobile Aggregate sinnvoll. Käufer oft Aggregatehersteller oder Astec; bei Astec-Größe häufig Tier-1.	https://astecindustries.com/products/ | https://astecindustries.com/products/aggregates/
Astec Industries Inc. (Concrete brands)	B	Wie Astec insgesamt; Concrete-Sparte nutzt Hydraulik in Mischern, Förderung, Verstellung. Eckerle EIPC/EIPS passen zu stationären und mobilen Anwendungen.	Wie Astec Industries oben
Anaconda USA (Anaconda Equipment)	C	Hersteller mobiler Brecher-, Sieb- und Förderanlagen (McLanahan). Antriebe teilweise hydraulisch. Möglicher Pumpenbedarf, aber klare Eckerle-Anwendung nicht belegt.	https://anacondaequipment.com/product-range/ | https://anacondaequipment.com/about-us/
Alamo Group Inc.	A	OEM für Vegetations- und Industrietechnik (Mäher, Bohrgeräte, Kehrmaschinen). Maverick-Boom-Mäher mit Hydraulik (HydraForce). Direkte Passung zu EIPS (Pumpen) und EIMQ/EIPQ (Motoren) für Agrar/Industrie.	https://www.alamo-group.com/ | https://www.hydraforce.com/resources/case-studies/alamo-case-study/
American Piledriving Equipment (APE)	A	Hersteller von Rammgeräten (hydraulische Hämmer, Power Units, Rammrigs). Power Units mit Hydraulikpumpen (z.B. 3.000 psi). Eckerle EIPS/EIPC für mobile Aggregate gut geeignet. Direkter OEM-Käufer.	https://www.americanpiledriving.com/ver2/products_new.asp | https://www.americanpiledriving.com/ver2/MvcSpecifications/Hih/Display/22
Antraquip Corporation	A	OEM für Tunnel- und Bergbautechnik (Roadheader, hydraulische Schneidkopf-Anbaugeräte). Schweres Hydrauliksystem. EIMQ/EIPQ und EIPS/EIPC passen zu Baumaschinen und Bergbau.	https://antraquip.net/products/ | https://antraquip.net/roadheaders
AMI Attachments Inc.	C	Hersteller von Bagger-Anbaugeräten (Kupplungen, Greifer, Kipplöffel). Hydraulik kommt vom Trägerfahrzeug; AMI liefert keine Hydraulikaggregate mit Pumpen. Kein typischer Direktkäufer.	https://www.amiattachments.com/ | https://www.amiattachments.com/excavator/
Allied Pedestal Boom Systems LLC	B	Hersteller von Pedestal-Boom-Systemen und Hydraulikhämmern. Power Units mit Kolbenpumpen; Eckerle EIPS/EIPC könnten in Nebenkreisen oder kleineren Aggregaten vorkommen.	https://mellottcompany.com/product/allied-pedestal-boom-systems-powerportable-series/ | https://mellottcompany.com/product/allied-pedestal-boom-system-hydraulic-hammer-ab-series/
ALLU USA Inc.	B	Hersteller von Sieblöffeln und Aufbereitungs-Anbaugeräten für Bagger/Radlader. Geräte mit Hydraulikantrieb (100–120 l/min, bis 300 bar). EIMQ als Hydromotor für Drehantriebe denkbar.	https://allu.net/us/products/screening-bucket-screener/ | https://allu.net/us/products/screening-bucket-d-series/
ALmix / Asphalt Drum Mixers Inc. / Asphalt Equipment Company Inc	C	OEM für Asphaltmischanlagen (Drum Mixer, Batch Plants, Silos). Anlagen haben teils hydraulische Förderung/Verstellung. Möglicher Pumpenbedarf, aber nicht primär mobil/kompakt wie Eckerle-Kernziel.	https://almix.com/drum-mixers | https://almix.com/
Asphalt Zipper	A	Hersteller von Reclaimern/Stabilisatoren (Anbaugeräte für Lader/Bagger). Hydraulikantrieb des Schneidkopfes; kompakte mobile Anwendung. EIPS und EIMQ/EIPQ passen zu Anbaugeräten und Mobilhydraulik.	https://asphaltzipper.com/ | https://asphaltzipper.com/how-it-works/paving-contractors
Aebi Schmidt Group	A	OEM für Kehrmaschinen, Winterdienst und Straßenpflege. Kehrmaschinen mit Hydraulikmotoren für Bürsten und Förderer (Wasa 300+, VKS). EIMQ/EIPQ für leise Drehantriebe; typische Eckerle-Zielgruppe.	https://www.aebi-schmidt.com/en/products-solutions/products/sweepers/ | https://www.aebi-schmidt.com/en/products/schmidt/sweepers/wasa-300/
ASA Hydraulik of America	B	Hersteller/Vertrieb von Hydraulikkomponenten (Kühler, Wärmetauscher, Gerotorpumpen). Kein Konkurrent zu Eckerle; möglicher Vertriebspartner oder Komplementärprodukte. Kanalpartner, nicht End-OEM.	https://asahydraulik.us/ | https://www.asahydraulik.com/about
ADVANCE (A Terex Brand)	C	Terex-Marke für Front-Entlade-Fahrmischer. Hydraulik für Trommelantrieb und Kippen. Möglicher Pumpen-/Motorbedarf, aber Fahrmischer eher Randanwendung für Eckerle.	https://www.terex.com/advance/en | https://www.terex.com/advance/en/products/overview
Aggregate Systems Inc.	C	Hersteller maßgefertigter Anlagen für Aggregate/Asphalt/Ready-Mix (Brecher, Siebe, Waschanlagen). Hydraulik in Anlagen möglich; Eckerle-Pumpen denkbar, aber keine klare dokumentierte Passung.	https://www.aggsystems.net/ | https://www.aggsystems.net/products/aggregate-products/
